phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
6500753,https://danskebank.joomla.com/cli/swiss/9b4a6253c1605b1/login.php?#_9b4a6253c1605b18d,http://www.phishtank.com/phish_detail.php?phish_id=6500753,2020-04-12T06:27:21+00:00,yes,2020-04-12T06:29:01+00:00,yes,Other
6500749,https://web5545.cweb03.gamingweb.de/ING/,http://www.phishtank.com/phish_detail.php?phish_id=6500749,2020-04-12T06:12:50+00:00,yes,2020-04-12T06:13:17+00:00,yes,"ING Direct"
6500748,https://web5545.cweb03.gamingweb.de/ING,http://www.phishtank.com/phish_detail.php?phish_id=6500748,2020-04-12T06:12:49+00:00,yes,2020-04-12T06:13:17+00:00,yes,"ING Direct"
6500746,https://connect.auone-jp.client-id.subs-id934.com/,http://www.phishtank.com/phish_detail.php?phish_id=6500746,2020-04-12T06:09:26+00:00,yes,2020-04-12T06:10:50+00:00,yes,Other
6500729,https://wdestaques17.oferta-com-preco-baixo.com/destaques/51/produto/134219606/lavadora-de-roupas-brastemp-15kg-bwn15-titanio,http://www.phishtank.com/phish_detail.php?phish_id=6500729,2020-04-12T05:30:39+00:00,yes,2020-04-12T05:31:56+00:00,yes,Other
6500710,https://www.batiakdenizmedya.com/home/c0d58683701171db454d0456f2508f90,http://www.phishtank.com/phish_detail.php?phish_id=6500710,2020-04-12T05:00:44+00:00,yes,2020-04-12T05:02:37+00:00,yes,Other
6500709,https://banconals.com/www.facebook.com/a3718097a1d0f7f56e6699b18bfdc7da,http://www.phishtank.com/phish_detail.php?phish_id=6500709,2020-04-12T05:00:39+00:00,yes,2020-04-12T05:02:37+00:00,yes,Other
6500707,https://banconals.com/www.facebook.com/a0554bfe8d7021f8676e94f79b7bb53e,http://www.phishtank.com/phish_detail.php?phish_id=6500707,2020-04-12T05:00:31+00:00,yes,2020-04-12T05:02:37+00:00,yes,Other
6500706,http://kanakapolymers.com/admin/prod_images/doc/top/tYBXPOllojBQiD2Fi5oP7pPqafV4ERs7Q45GSq1hJD72g9Hzf6pnveNFuIK8Acgqhl69L8rvLzx,http://www.phishtank.com/phish_detail.php?phish_id=6500706,2020-04-12T05:00:27+00:00,yes,2020-04-12T05:01:21+00:00,yes,Other
6500694,http://bcpzonasegura-viabcp.es-cuz.com/iniciar-sesion,http://www.phishtank.com/phish_detail.php?phish_id=6500694,2020-04-12T04:20:11+00:00,yes,2020-04-12T04:21:17+00:00,yes,Other
